contract,last,time(gmt),%_change,volume
Mar26,96.150,3/20/2026 5:59 PM,-0.042,76041
Intraday3 Months1 Year2 YearsLast Update Time: 03-20-2026 7:22 PM GMTCreated with Highcharts 10.3.38 AM9 AM10 AM11 AM12 PM1 PM2 PM3 PM4 PM5 PM6 PM96.1296.1396.1496.1596.1696.1796.1896.1996.2,Intraday3 Months1 Year2 YearsLast Update Time: 03-20-2026 7:22 PM GMTCreated with Highcharts 10.3.38 AM9 AM10 AM11 AM12 PM1 PM2 PM3 PM4 PM5 PM6 PM96.1296.1396.1496.1596.1696.1796.1896.1996.2,Intraday3 Months1 Year2 YearsLast Update Time: 03-20-2026 7:22 PM GMTCreated with Highcharts 10.3.38 AM9 AM10 AM11 AM12 PM1 PM2 PM3 PM4 PM5 PM6 PM96.1296.1396.1496.1596.1696.1796.1896.1996.2,Intraday3 Months1 Year2 YearsLast Update Time: 03-20-2026 7:22 PM GMTCreated with Highcharts 10.3.38 AM9 AM10 AM11 AM12 PM1 PM2 PM3 PM4 PM5 PM6 PM96.1296.1396.1496.1596.1696.1796.1896.1996.2,Intraday3 Months1 Year2 YearsLast Update Time: 03-20-2026 7:22 PM GMTCreated with Highcharts 10.3.38 AM9 AM10 AM11 AM12 PM1 PM2 PM3 PM4 PM5 PM6 PM96.1296.1396.1496.1596.1696.1796.1896.1996.2
Contract,Last,Time(GMT),% Change,Volume
Jun26,95.720,3/20/2026 5:59 PM,-0.115,271779
Sep26,95.450,3/20/2026 5:59 PM,-0.183,287004
Dec26,95.385,3/20/2026 5:59 PM,-0.204,478630
Jun26-Mar27 Pack,95.491,3/20/2026 5:50 PM,0.000,2586
Mar27,95.405,3/20/2026 5:59 PM,-0.209,287510
Jun27,95.500,3/20/2026 5:59 PM,-0.199,290541
Dec26-Sep27 Pack,95.450,3/20/2026 4:08 PM,0.000,15
Sep27,95.605,3/20/2026 5:59 PM,-0.177,244069
Mar27-Dec27 Pack,95.570,3/20/2026 5:28 PM,0.000,131
Dec27,95.700,3/20/2026 5:59 PM,-0.156,250504
Jun26-Mar28 Bundle,95.573,3/20/2026 5:57 PM,0.000,7819
Jun27-Mar28 Pack,95.630,3/20/2026 5:07 PM,0.000,544
Mar28,95.765,3/20/2026 5:59 PM,-0.136,193067
Jun28,95.810,3/20/2026 5:59 PM,-0.120,153442
Sep28,95.830,3/20/2026 5:59 PM,-0.115,136573
Mar28-Dec28 Pack,95.797,3/20/2026 4:55 PM,0.000,451
Dec28,95.835,3/20/2026 5:59 PM,-0.109,128514
Jun26-Mar29 Bundle,95.657,3/20/2026 5:20 PM,0.000,887
Jun28-Mar29 Pack,95.829,3/20/2026 5:55 PM,0.000,996
Mar29,95.835,3/20/2026 5:59 PM,-0.104,84582
Jun29,95.835,3/20/2026 5:59 PM,-0.094,45853
Sep29,95.825,3/20/2026 5:59 PM,-0.089,34081
Mar29-Dec29 Pack,95.821,3/20/2026 5:18 PM,0.000,80
Dec29,95.810,3/20/2026 5:59 PM,-0.083,23528
Jun26-Mar30 Bundle,95.668,3/20/2026 2:19 PM,0.000,3
Jun29-Mar30 Pack,95.813,3/20/2026 4:10 PM,0.000,62
Mar30,95.790,3/20/2026 5:58 PM,-0.083,9939
Jun30,95.760,3/20/2026 5:59 PM,-0.083,6463
Sep30,95.735,3/20/2026 5:58 PM,-0.073,5325
Dec30,95.705,3/20/2026 5:59 PM,-0.063,2533
Jun30-Mar31 Pack,95.700,3/20/2026 4:37 PM,0.000,3
Mar31,95.655,3/20/2026 5:58 PM,-0.073,735
